Title,Date,Creator and role,Department,Medium text statement,IRN,Image Filename,colour0,colour1,colour2,colour3,colour4,CSS_colour0,CSS_colour1,CSS_colour2,CSS_colour3,CSS_colour4
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments, synthetic polymer paint",10317,2010.498_001.jpg,#f7f7f7,#52301e,#c2b8a7,#927156,#e6e5e4,whitesmoke,darkolivegreen,silver,dimgray,gainsboro
Banumbirr (Morning Star pole),c.1995,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, cotton thread, feathers, natural pigments",9205,2010.499_001.jpg,#f9f9f9,#967c69,#c7bdb4,#554235,#efefef,ghostwhite,gray,silver,darkolivegreen,whitesmoke
Banumbirr (Morning Star pole),1995,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, native beeswax, natural pigments",9206,2010.500_001.jpg,#f9f9f8,#564130,#ccc6ba,#a08f6b,#ededec,whitesmoke,darkolivegreen,silver,gray,whitesmoke
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9207,2010.501_001.jpg,#f6f6f6,#bdb8ac,#3b3120,#e2e2e1,#9c7e36,whitesmoke,silver,darkslategray,gainsboro,sienna
Banumbirr (Morning Star pole),1999,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9208,2010.502_001.jpg,#f7f7f7,#2b221f,#755d52,#b5ada4,#e8e7e7,whitesmoke,black,dimgray,darkgray,lavender
Banumbirr (Morning Star pole),1999,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9209,2010.503_001.jpg,#f7f7f7,#978973,#48382c,#e8e8e5,#c8c3b4,whitesmoke,gray,darkslategray,gainsboro,silver
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9211,2010.505_001.jpg,#f8f8f8,#8c7e69,#c5beb1,#433526,#e7e6e5,whitesmoke,gray,silver,darkslategray,gainsboro
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, synthetic polymer paint",9212,2010.506_001.jpg,#f9f9f9,#40342a,#827869,#b4afa9,#e7e7e7,ghostwhite,darkslategray,gray,darkgray,lavender
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, synthetic polymer paint",9213,2010.507_001.jpg,#f8f8f7,#8c6e47,#bfb7a2,#423322,#e9e8e7,whitesmoke,sienna,darkgray,darkslategray,linen
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9214,2010.508_001.jpg,#f7f7f7,#64402c,#cdc7bb,#eae9e8,#a1907f,whitesmoke,darkolivegreen,silver,linen,rosybrown
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9215,2010.509_001.jpg,#f8f8f8,#3e3222,#947c45,#bfb9ad,#edecec,whitesmoke,darkslategray,sienna,silver,linen
Banumbirr (Morning Star pole),1998,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments",9216,2010.510_001.jpg,#f7f7f7,#9a876d,#eae9e8,#673b29,#cdc4ae,whitesmoke,gray,linen,saddlebrown,silver
Digging stick (Wapitja),2008,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, feathers, native beeswax, natural pigments",11068,2010.511_001.jpg,#fafafa,#8c7868,#f4f4f4,#c6bab2,#573e36,snow,gray,whitesmoke,silver,darkolivegreen
Banumbirr (Morning Star pole),c.1995,"GURRUWIWI, Malu - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, natural pigments, synthetic polymer paint",9217,2010.512_001.jpg,#f8f8f8,#473731,#978c7b,#edecec,#c8c4b5,whitesmoke,darkslategray,gray,linen,silver
Yulengor (Rainbow Serpent) at Mirrarmina,unknown,"GURRUWIWI, Mithinarri - ",Indigenous Australian Art,Natural pigments,35291,2020.288_001.jpg,#a17d66,#ebe7df,#67432e,#835b43,#c0a089,gray,antiquewhite,darkolivegreen,sienna,rosybrown
Banumbirr (Morning Star pole),2001,"GURRUWIWI, Richard Dhaymutha - ",Indigenous Australian Art,"Wood, human hair, cotton thread, native beeswax, natural pigments, synthetic polymer paint",10981,2010.529_001.jpg,#e9e9e6,#f8f8f8,#977e60,#c9c4b7,#413028,linen,whitesmoke,gray,silver,darkslategray
Banumbirr (Morning Star pole),2001,"GURRUWIWI, Richard Dhaymutha - ",Indigenous Australian Art,"Wood, bark fibre string, cotton thread, feathers, synthetic polymer paint, natural pigments",11265,2010.530_001.jpg,#f9f9f9,#cac3b5,#58422e,#edeceb,#9c8a6d,ghostwhite,silver,darkolivegreen,linen,gray
Shark and pul pul necklace,2006,"GURRUWIWI, Rose Mamuniny - ",Indigenous Australian Art,"Shark vertebrae, feathers with silver catch",4282,2008.148_001.jpg,#fcf9f4,#b99573,#c4661d,#d0bea8,#e5dccb,floralwhite,rosybrown,chocolate,silver,gainsboro
Headband,2007,"GURRUWIWI, Rose Mamuniny - ",Indigenous Australian Art,"Feathers, elastic and wax",10064,2008.149_001.jpg,#d4c6ba,#ad482d,#fdfcfa,#be8268,#594b3e,silver,sienna,snow,rosybrown,darkolivegreen
Feather necklace,2005,"GURRUWIWI, Rose Mamuniny - ",Indigenous Australian Art,"Feathers, shark vertebrae, bamboo, banyan bark fibre string with silver catch",9045,2008.150_001.jpg,#fcf8f2,#5b4326,#d1c2b0,#b18556,#9f5820,floralwhite,darkolivegreen,silver,peru,sienna
Shell and shark necklace,2005,"GURRUWIWI, Rose Mamuniny - ",Indigenous Australian Art,"Shells (Neritea sp.), shark vertebrae on monofilament",9700,2008.151_001.jpg,#fdfbf7,#675b4e,#bcaf9d,#908273,#e2d9ca,snow,dimgray,darkgray,gray,lightgray
Banumbirr (Morning Star pole),2003,"GURRUWIWI, Trevor - ",Indigenous Australian Art,"Wood, feathers, bark fibre string, cotton thread with natural pigments",9582,2004.232_003_detail.jpg,#292524,#e3e3e2,#8d633c,#c0b6a7,#e59e06,darkslategray,gainsboro,sienna,darkgray,orange
"Yellow helmet and gray house (from 'I have to Feed Myself, My Family and My Country' series)",2015,"GURUNG, Hit Man - ",Contemporary Asian Art,Synthetic polymer paint,22272,2015.174a-b_001_composite.jpg,#141618,#68696e,#c8c8cf,#898c96,#414040,black,dimgray,lightgray,lightslategray,darkslategray
Kip Moderr,2011,"BOURNE, Maryann - Collaborating artist; GELA, Rachel Emma - Collaborating artists; OUI-PITT, Racy - Collaborating artist; KIWAT, Fred Mislam - Collaborating artist; THAIDAY, Jimmy Kenny - Designer; GUTCHEN, Florence Mabel - Collaborating artist; NAAWI, Nancy - Collaborating artist; SAVAGE, Ellarose - Collaborating artist; GUTCHEN Sr, Kapua George - Designer; MYE, Franklin Jacob - Designer",Indigenous Australian Art,"Canvas printed with external solvent digital inks, bamboo, commercial hemp rope, eyelets",13625,2011.160a-d_001.jpg,#c8afa7,#f6e7e4,#776963,#dfceca,#b29184,tan,mistyrose,dimgray,lightgray,rosybrown
Epei,2011,"ERUB ERWER META ARTISTS,  - Collective; GUTCHEN, Florence Mabel - Artist",Indigenous Australian Art,Charcoal,12043,2011.159.020_001.jpg,#2d2e2e,#aaaaaa,#7b7c7b,#d8d9d9,#525353,darkslategray,darkgray,gray,gainsboro,darkslategray
Shells,2011,"ERUB ERWER META ARTISTS,  - Collective; GUTCHEN, Florence Mabel - Artist",Indigenous Australian Art,Charcoal,12044,2011.159.021_001.jpg,#555554,#d6d7d7,#282828,#7f7f7f,#aaaaa9,dimgray,lightgray,darkslategray,gray,darkgray
Samu,2011,"ERUB ERWER META ARTISTS,  - Collective; GUTCHEN, Florence Mabel - Artist",Indigenous Australian Art,"Charcoal, watercolour",12045,2011.159.022_001.jpg,#555655,#e0e1e1,#8c8985,#252727,#b9b8b7,dimgray,gainsboro,gray,darkslategray,silver
Ceremonial dilly bag,1980,"GUYULA, Ruby Gubiyarrawuy - ",Indigenous Australian Art,"Twined pandanus palm leaf, natural pigments, feathers with bark fibre string",5258,2008.273_001.jpg,#e6e1e0,#8c4725,#c1b6a8,#ae7a41,#3b2d24,gainsboro,saddlebrown,silver,peru,darkslategray
Ceremonial headband,1995,"GUYULA, Ruby Gubiyarrawuy - ",Indigenous Australian Art,"Kurrajong bark fibre, brolga feathers with natural dyes",9393,2008.274_001.jpg,#ebe8e8,#928271,#cdc0b2,#b7a692,#e1dede,linen,gray,silver,rosybrown,gainsboro
Double-sided bag,c.1960s,"GWONGIL,  - ",Indigenous Australian Art,Coil-woven and knotted pandanus palm leaf with natural dyes,11041,2007.045_001.jpg,#ecedf0,#b79e69,#51371d,#d9dadc,#8b6e35,whitesmoke,darkkhaki,darkolivegreen,gainsboro,sienna
Angel,2007,"GYATSO, Gonkar - ",Contemporary Asian Art,Stickers and pencil,14364,2008.041_001.jpg,#aea59b,#e8e3dd,#5f4231,#8f7a61,#cdc7c3,darkgray,gainsboro,darkolivegreen,gray,silver
Netsuke:  (group of four figures),c.1830-67,"GYOKKO,  - ",Asian Art,Carved ivory with flat base,7052,1985.028.054_001.jpg,#e4e1db,#96663a,#c99f69,#e3cca5,#4d3120,gainsboro,sienna,darkkhaki,wheat,darkolivegreen
Netsuke:  (Daikoku (one of the seven dieties of good fortune) carrying a child in his bundle),19th century,"GYOKUZAN,  - ",Asian Art,Carved ivory,9065,1985.028.029_001.jpg,#e0e0e0,#603f29,#c59e6f,#9b6f46,#d8c7ad,gainsboro,darkolivegreen,darkkhaki,sienna,silver
Subversive salami in a ragged briefcase (from 'Fictionville' series 2009-ongoing),2013,"HAERIZADEH, Rokni - ",Contemporary International Art,"Gesso, watercolour and ink",24709,2016.457_001.jpg,#e2b786,#7e8381,#e0dacb,#adb2a9,#585757,burlywood,gray,lightgray,darkgray,dimgray
Subversive salami in a ragged briefcase (from 'Fictionville' series 2009-ongoing),2013-14,"HAERIZADEH, Rokni - ",Contemporary International Art,"Gesso, watercolour and ink",22989,2016.458_001.jpg,#9fa9ad,#434143,#748896,#d5cfd1,#5c626b,darkgray,darkslategray,lightslategray,lightgray,dimgray
Subversive salami in a ragged briefcase (from 'Fictionville' series 2009-ongoing),2013-14,"HAERIZADEH, Rokni - ",Contemporary International Art,"Gesso, watercolour and ink",22994,2016.459_001.jpg,#bc8a69,#615852,#d8b795,#8f715d,#423f3e,rosybrown,dimgray,tan,dimgray,darkslategray
Subversive salami in a ragged briefcase (from 'Fictionville' series 2009-ongoing),2014,"HAERIZADEH, Rokni - ",Contemporary International Art,"Gesso, watercolour and ink",22991,2016.460_001.jpg,#4e4d4e,#b1b5ba,#75706e,#918e8f,#5f5e5f,darkslategray,silver,dimgray,gray,dimgray
Squat for life,1988,"HAGEL, Petra - ",Contemporary Australian Art,Screenprint,1647,1995.041_001.jpg,#7e4a38,#f0eade,#2a2a2d,#fbc008,#ca4934,sienna,antiquewhite,darkslategray,gold,chocolate
Soru'e (Omie custom creations),2006,"HAGO, Pauline Rose - ",Pacific Art,Natural pigments,14810,2006.322_001.jpg,#060607,#6d4d33,#7c5c40,#8e6f52,#5e3f27,black,darkolivegreen,sienna,dimgray,darkolivegreen
Three sisters (from 'They' series),2000,"HAI Bo,  - ",Contemporary Asian Art,Black and white photograph,15011,2008.294a-b_002_detail.jpg,#18171c,#ced2d4,#66696c,#3b3c3f,#969a9d,black,lightgray,dimgray,darkslategray,darkgray
Ghostship - Low,1998,"HAINES, David - ",Contemporary Australian Art,"Videotape:  11 minutes, colour, stereo",14083,1999.053_001_still.jpg,#091007,#f7ecad,#6a725a,#bcb181,#384029,black,palegoldenrod,dimgray,darkkhaki,darkslategray
Studio interior,c.1920,"HALL, Bernard - ",Australian Art,Oil,7536,1-1586_001.jpg,#755039,#f1b76c,#382823,#9f7555,#563a2c,darkolivegreen,sandybrown,darkslategray,indianred,darkolivegreen
The quest,c.1905,"HALL, Bernard - ",Australian Art,Oil,12206,1985.019_003.jpg,#34342f,#343f46,#232222,#1d333e,#454c3e,darkslategray,darkslategray,black,darkslategray,darkslategray
Lady with sponge,1922,"HALL, Bernard - ",Australian Art,Oil,24781,2016.429_001_composite.jpg,#482a1d,#987a54,#10080e,#735738,#d0a777,darkslategray,gray,black,darkolivegreen,tan
Thuuth (Striped protector and storyteller wearing grass skirt),2004,"KOOMEETA, Craig - ",Indigenous Australian Art,"Carved milkwood with synthetic polymer paint, natural pigments, ibis feathers and natural fibres",4879,2004.059_001.jpg,#f4f4f4,#8f4537,#c89284,#ebeaea,#433432,whitesmoke,sienna,rosybrown,linen,darkslategray
Visual overload,1987,"GOWER, Elizabeth - ",Contemporary Australian Art,Synthetic polymer paint,809,1990.029_001.jpg,#ef9d60,#6f97c7,#ecebe7,#3d4c31,#ae3135,sandybrown,cornflowerblue,linen,darkslategray,brown
Fashion-plate,1969-70,"HAMILTON, Richard - ",International Art,"Photo-offset lithograph, collage, screenprint and pochoir, retouched with cosmetics",14299,1985.004_001.jpg,#e0d7cb,#695f4f,#171412,#929084,#cab59f,lightgray,dimgray,black,gray,tan
(Study of a female nude),1964,"COUNIHAN, Noel - ",Australian Art,Charcoal with traces of red chalk,2393,2-0757_001.jpg,#ead4ba,#625649,#92816f,#beab94,#312a24,wheat,darkolivegreen,gray,tan,darkslategray
Shrubby Dilenia (from 'Insectivorous' series),2006,"HALL, Fiona - ",Contemporary Australian Art,Etching and chine collé,13379,2007.112_001.jpg,#eeebe3,#f2d491,#8d7d59,#cbba91,#e9d8b0,linen,khaki,gray,tan,wheat
Green ant nest (from 'Insectivorous' series),2006,"HALL, Fiona - ",Contemporary Australian Art,Etching and chine collé,13380,2007.113_001.jpg,#edeae2,#7a6b4c,#edd093,#a79570,#4f432e,linen,dimgray,khaki,rosybrown,darkolivegreen
Sundew (from 'Insectivorous' series),2006,"HALL, Fiona - ",Contemporary Australian Art,Etching and chine collé,13381,2007.114_001.jpg,#edeae2,#b09c75,#746547,#e7cf9e,#382d19,linen,rosybrown,dimgray,palegoldenrod,darkslategray
Wattle and mantid (from 'Insectivorous' series),2006,"HALL, Fiona - ",Contemporary Australian Art,Etching and chine collé,13382,2007.115_001.jpg,#ab997f,#edeae2,#796a54,#d6c1a5,#3f3220,rosybrown,linen,dimgray,tan,darkslategray
Palm and paperwasp (from 'Insectivorous' series),2006,"HALL, Fiona - ",Contemporary Australian Art,Etching and chine collé,13383,2007.116_001.jpg,#6a614f,#edeae2,#c2b69c,#423b2d,#928771,dimgray,linen,tan,darkslategray,gray
Tamil Tiger (design for wallpaper in ‘Fly away home’),2010,"HALL, Fiona - ",Contemporary Australian Art,Watercolour,18284,2012.658_001.jpg,#514631,#afa789,#d8d1a3,#818c7e,#82604d,darkolivegreen,rosybrown,palegoldenrod,gray,dimgray
Mary's cherries,2004,"ROTTENBERG, Mika - ",Contemporary International Art,"Single-channel video installation: 5:50 minutes, colour, sound, 4:3; 28"" CRT monitor and mount, media player, speakers, wood, carpet, stucco, fluorescent light, fan and concrete blocks",19581,2013.152a-b_001_still_imageAndreaRosenGallery.jpg,#c4b0af,#715f59,#9c8883,#eee6e9,#3e2317,silver,dimgray,gray,linen,darkslategray
Bouquet,,"HALL, Kenneth - ",International Art,Pen and ink and wash,5396,1-0532_001.jpg,#dbc9a9,#867a63,#b9a98c,#e5c845,#4b4131,wheat,gray,rosybrown,sandybrown,darkolivegreen
Teapot,c.1973,"HAMADA, Atsuya - ",Asian Art,Stoneware with green glaze,7134,2006.037a-b_001.jpg,#cacdcc,#6e5137,#f6f7f7,#321f16,#a18d70,lightgray,darkolivegreen,whitesmoke,black,gray
Rectangular bottle,c.1971-72,"HAMADA, Shoji - ",Asian Art,Stoneware with brushwork and brown and turquoise glaze,15234,1996.184_001.jpg,#111b1d,#5e4038,#7c8fb5,#9e6d52,#335d6e,black,darkolivegreen,lightslategray,sienna,darkslategray
Hexagonal vase,c.1970,"HAMADA, Shoji - ",Contemporary Asian Art,"Earthenware, dark brown/black glaze with cream 'snow on the mountain' overglaze",15233,1996.185_001.jpg,#485b7f,#a6a29a,#0d191b,#2c404a,#d1cfce,darkslateblue,darkgray,black,darkslategray,lightgray
Rectangular bottle,c.1973,"HAMADA, Shoji - ",Asian Art,"Stoneware, press-moulded with tenmoku glaze and nuka glaze",11567,2006.033_002.jpg,#acaaa2,#757168,#ced0d5,#eceef5,#414348,darkgray,dimgray,lightgray,lavender,darkslategray
Square platter,c.1973,"HAMADA, Shoji - ",Asian Art,"Stoneware with tenmoku glaze, and ladle-poured scroll design in kaki glaze",5111,2006.034_002.jpg,#977152,#e0e3e6,#272322,#fbfcfd,#c4c2be,sienna,gainsboro,black,ghostwhite,silver
Round platter,c.1973,"HAMADA, Shoji - ",Asian Art,"Stoneware with ash glaze and kaki glaze, and wax resist design of a rice husk",3344,2006.035_002.jpg,#c7cace,#8c5a35,#aca396,#ebeef3,#3a2518,lightgray,sienna,darkgray,lavender,darkslategray
Lidded jar,1965,"HAMADA, Shoji - ",Asian Art,Stoneware with green-grey glazes and painted fruit design,9895,2006.036a-b_002.jpg,#edeeee,#6f5c51,#d1d4d3,#3a2924,#9d9384,whitesmoke,dimgray,lightgray,darkslategray,rosybrown
Rabari applique and embroidered quilt,2004,"HAMIR, Kankuben - ",Contemporary Asian Art,"Quilt: hand-stitched embroidery and appliqué in silk, mashru (hand-woven satin silk fabric) and cotton on mashru ground",13422,2007.262_001.jpg,#576a6f,#2d1e18,#d3cfc6,#8e682a,#a89d83,dimgray,black,lightgray,sienna,rosybrown
Portrait of Sakushiro Kato,1889,"HANDA, attrib. to Ujimaro - ",Asian Art,Ambrotype,9174,2010.267_001.jpg,#c9c1be,#4f4236,#bc8d6b,#816c56,#ebebed,silver,darkolivegreen,rosybrown,dimgray,lavender
Dream people,1975,"HANRAHAN, Barbara - ",Australian Art,Colour etching,15442,2-1070_001.jpg,#6d6a48,#b2ae85,#333221,#b3af46,#e6e0d9,dimgray,darkkhaki,darkslategray,darkkhaki,gainsboro
The General and Mata Hari and me,1977,"HANRAHAN, Barbara - ",Contemporary Australian Art,Screenprint,11346,2-1398_002.jpg,#2c2122,#dedbd5,#80502a,#db472a,#ba9088,darkslategray,gainsboro,saddlebrown,chocolate,rosybrown
Wedding night,1977,"HANRAHAN, Barbara - ",Contemporary Australian Art,Screenprint,5467,1987.002_002.jpg,#e4bab6,#2b201a,#807d4f,#d08b67,#a14923,lightpink,black,dimgray,darksalmon,sienna
Mother 1933,1977,"HANRAHAN, Barbara - ",Contemporary Australian Art,Screenprint,7205,1987.003_002.jpg,#201b1c,#cbaeab,#c17122,#5a2c2e,#8f6b69,black,silver,chocolate,saddlebrown,gray
Mother 1933,1967,"HANRAHAN, Barbara - ",Australian Art,Screenprint and lithograph,5351,1987.004_002.jpg,#e9e2dc,#cf9e6e,#ad5215,#502c24,#b34246,gainsboro,darksalmon,sienna,darkolivegreen,sienna
The actress,1979-88,"HANRAHAN, Barbara - ",Contemporary Australian Art,"Etching, hand-coloured",12233,1988.056_002.jpg,#efebe8,#393b29,#c6c539,#c6c3c0,#7d7574,linen,darkslategray,goldenrod,silver,gray
I saw Addi yesterday on West Broadway (from 'Hommage à Arthur Köpcke' (Hommage to Arthur Kopcke) portfolio),1979,"HANSEN, Al - ",Contemporary International Art,Assemblage of jigsaw pieces,1657,1991.153.008_001.jpg,#b09169,#232326,#d5b58e,#02306a,#edbf04,rosybrown,darkslategray,tan,midnightblue,gold
Flask,1981,"HANSEN, Ragnar - ",Contemporary Australian Art,Sterling silver shell formed,3932,4-0584a-b_003.jpg,#f8f7f8,#3f4243,#e5ddc6,#aba99c,#64686b,whitesmoke,darkslategray,gainsboro,darkgray,dimgray
Fair droving weather,1911,"HANSON, Albert J. - ",Australian Art,Watercolour over pencil,12091,1-0080_001.jpg,#a38038,#c8a054,#715a2b,#999874,#7f7b55,peru,darkkhaki,darkolivegreen,gray,dimgray
Bowl,1989,"HANSSEN PIGOTT, Gwyn - ",Contemporary Australian Art,"Porcelain, thrown and wood fired with lavender glaze",14436,1990.298_001.jpg,#8e8886,#2e2d2f,#ceb495,#524d4f,#7a6d67,gray,darkslategray,tan,darkslategray,dimgray
Travellers no. 3,2001,"HANSSEN PIGOTT, Gwyn - ",Contemporary Australian Art,"Limoges porcelain, wheelthrown",2120,2001.071a-z_001.jpg,#dee1d8,#aeb29a,#d0d3c6,#697059,#c0c3b0,gainsboro,darkgray,lightgray,dimgray,silver
Jug and bowl,c.1986-87,"HANSSEN PIGOTT, Gwyn - ",Contemporary Australian Art,"Porcelain, wheelthrown",11558,2001.085a-b_001.jpg,#e3e7e7,#ceb28e,#a39b96,#d4cec3,#877568,gainsboro,tan,darkgray,lightgray,gray
Drift,2005,"HANSSEN PIGOTT, Gwyn - ",Contemporary Australian Art,"Limoges and Southern Ice porcelains, wheelthrown and slip-cast, with glazes",3426,2005.093a-s_001.jpg,#eff1f5,#c8d3d8,#e0e5eb,#81908c,#a9bab9,whitesmoke,lightgray,lavender,lightslategray,darkgray
Bowl,c.1988,"HANSSEN PIGOTT, Gwyn - ",Contemporary Australian Art,"Porcelain, wheelthrown and wood fired",19056,2012.631_001.jpg,#e7ebf0,#62605e,#afaeae,#272b2f,#d6d9de,lavender,dimgray,darkgray,darkslategray,gainsboro
Gleaners,1883,"HARDIE, Charles Martin - ",International Art,Oil,12080,1-0057_001.jpg,#b29163,#3d2a1d,#9a784c,#70917d,#6b5336,darkkhaki,darkslategray,sienna,gray,darkolivegreen
Brooch II,1981,"HARDIMAN, Christine - ",Contemporary Australian Art,"Sterling silver, iron wire, horn section, plastic shell, snapper jaw section, brass and cable wire",1921,4-0652_001.jpg,#ecebea,#6a5530,#bebba6,#757168,#322722,linen,darkolivegreen,silver,dimgray,darkslategray
Unnamed,2009,"HARDING, Dale - ",Indigenous Australian Art,Lead and steel wire,19386,2013.040_001.jpg,#f4f4f4,#5c4640,#b6b6b5,#989796,#d5d4d1,whitesmoke,darkolivegreen,silver,darkgray,lightgray
We breathe together,2017,"HARDING, Dale - ",Indigenous Australian Art,"Ochre, charcoal, Reckitt's blue",33099,2019.056a-l_001_composite.jpg,#d0c3bb,#6d493d,#b2866d,#fbfaf9,#3d5ba0,silver,darkolivegreen,rosybrown,snow,darkslateblue
Little boxes I,1970,"HARDY, Cecil - ",Australian Art,Screenprint,13764,2-0647_001.jpg,#e2d9cd,#c33c25,#1b7759,#7a4373,#017eb8,gainsboro,firebrick,seagreen,dimgray,darkcyan
Little boxes II,1970,"HARDY, Cecil - ",Australian Art,Screenprint,13783,2-0648_001.jpg,#0b7b63,#e4dcd0,#ad3228,#524691,#7a9506,teal,gainsboro,brown,darkslateblue,olive
Untitled,2003,"HARPER, Melinda - ",Contemporary Australian Art,Oil,8248,2009.165_001.jpg,#ab9d18,#98252b,#1c2940,#a1a3ab,#1b6e92,darkgoldenrod,brown,darkslategray,darkgray,teal
Servers (from 'Setting II' series),1996,"HARRINGTON, Catherine - ",Contemporary Australian Art,Sterling silver,9603,1997.065a-b_001.jpg,#c5c3bc,#817e76,#f3f4f0,#3e3a37,#605c58,silver,gray,whitesmoke,darkslategray,dimgray
The stations (portfolio),1989,"HARRIS, Brent - ",Contemporary Australian Art,Aquatint with etching,3475,1991.214a-n_001_detail part a.jpg,#f4f1e3,#302c29,#e3dfce,#f9f5e9,#a09c8f,linen,darkslategray,gainsboro,oldlace,darkgray
Station X (The disrobing),1989,"HARRIS, Brent - ",Contemporary Australian Art,Oil,17703,2012.176_001.jpg,#0e0e10,#e1e0d3,#5d5d5a,#252426,#a3a299,black,gainsboro,dimgray,darkslategray,darkgray
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17705,2012.627.001_001.jpg,#c3957d,#e9e6dc,#e9e763,#4c3e35,#e4caa2,rosybrown,gainsboro,khaki,darkslategray,wheat
Study for 'Bloom' (Prometheus variations),1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17706,2012.627.002_001.jpg,#e8e5dc,#c0a284,#594638,#e5e68c,#ddc3a6,gainsboro,rosybrown,darkolivegreen,khaki,tan
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Pencil,17707,2012.627.003_001.jpg,#e9e6dd,#c7c4bb,#eceae5,#dad8d0,#aba89f,gainsboro,silver,linen,lightgray,darkgray
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17708,2012.627.004_001.jpg,#e2e0d5,#e8dc0e,#513220,#ca8856,#d1bd99,gainsboro,gold,darkolivegreen,peru,tan
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17709,2012.627.005_001.jpg,#845b3f,#ece9e4,#3e2e26,#b88b66,#e7e9ac,sienna,linen,darkslategray,rosybrown,palegoldenrod
Study for 'Bloom',1998,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17710,2012.627.006_001.jpg,#ebe8e3,#c2a190,#e9ea88,#583d33,#a2806f,linen,rosybrown,khaki,darkolivegreen,gray
Study for 'Bloom' (No),1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil,17711,2012.627.007_001.jpg,#e9e6e1,#e5e8a3,#89867d,#deddcb,#bab8ab,gainsboro,palegoldenrod,gray,lightgray,darkgray
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17712,2012.627.008_001.jpg,#eae7e1,#e9e957,#ac947b,#d3bfa0,#3f3328,gainsboro,khaki,rosybrown,tan,darkslategray
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17713,2012.627.009_001.jpg,#e9e5de,#e7e664,#a58c73,#483b2d,#c9b29a,gainsboro,khaki,rosybrown,darkslategray,tan
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17714,2012.627.010_001.jpg,#e9e6df,#e6e885,#b79e86,#5d4c41,#d5c4b0,gainsboro,khaki,rosybrown,darkolivegreen,silver
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17715,2012.627.011_001.jpg,#e8e5df,#e6e880,#5d4c40,#d8ccba,#bea48d,gainsboro,khaki,darkolivegreen,lightgray,rosybrown
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17716,2012.627.012_001.jpg,#e8e5db,#e6e446,#c4ae96,#65574b,#e8e57c,gainsboro,greenyellow,tan,dimgray,khaki
Study for 'Bloom' (Portrait of Freud),1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17717,2012.627.013_001.jpg,#e8e5de,#e6e89a,#b19881,#513e33,#cfb9a4,gainsboro,khaki,rosybrown,darkolivegreen,tan
Study for 'Bloom',1996,"HARRIS, Brent - ",Contemporary Australian Art,Coloured pencil with pencil and ink,17718,2012.627.014_001.jpg,#dec396,#e1e04e,#534135,#e0dbce,#bb896e,burlywood,darkkhaki,darkolivegreen,gainsboro,rosybrown
